area_da_propriedade__hectares__,atividade_produtiva,Record Count
1 - 5 ha,"Pisicultura, Fruticultura",1
20 - 50 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Extrativismo Vegetal",1
1 - 5 ha,"Avicultura, Fruticultura",1
5 - 10 ha,"Bovinocultura de corte, Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",1
20 - 50 ha,"Bovinocultura de Leite, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Apicultura/meliponicultura, Mandiocultura, Culturas Anuais",1
20 - 50 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura, Olericultura",1
50 - 100 ha,Olericultura,1
10 - 20 ha,Suinocultura,1
5 - 10 ha,Sem atividade produtiva ainda,1
200 - 320 ha,"Bovinocultura de corte, Avicultura, Apicultura",1
50 - 100 ha,"Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura",1
